shift 4.0 endpoint_amplitude 3.02634170283827613e-18
x scaled_L scaled_Lprime scaled_Lsecond q physical_L
12 3.04617570659673741e-16 -2.97628866039421700e-15 1.75451707894069085e-15 8.97043886079720068e+01 4.34130020675965950e-37
shift 8.0 endpoint_amplitude 3.69693078526914982e-18
x scaled_L scaled_Lprime scaled_Lsecond q physical_L
0 3.82084421807125318e+00 2.99375619440379377e-15 -9.03914713974773463e+01 2.36574605606680812e+01 3.82084421807125318e+00
0.25 1.36765174603212269e+01 -7.77390943356495967e+01 1.55509435751791017e+02 2.09387830656445431e+01 1.85091536418305225e+00
0.5 1.35218290292693091e+01 -1.36834759733540835e+02 1.19394897740067131e+03 1.41073042008790264e+01 2.47660937615299698e-01
0.75 5.55071775321952288e+00 -7.04643545415708985e+01 8.57001353437297666e+02 6.75915201187951631e+00 1.37588537128534912e-02
1 1.47007587495365333e+00 -2.02071064397666227e+01 2.74485935635700571e+02 2.22661944830897252e+00 4.93155516228036992e-04
1.25 3.33638038552587834e-01 -4.68747907901212013e+00 6.56763158809324068e+01 5.42094629360985181e-01 1.51471435163807024e-05
1.5 7.27418155041884978e-02 -1.02697967715074046e+00 1.44909967191869029e+01 1.10717502460700279e-01 4.46941161424356446e-07
1.75 1.57248367957813114e-02 -2.22218060420766916e-01 3.13998223730552439e+00 2.08603697067412108e-02 1.30756533989086868e-08
2 3.39372315651250952e-03 -4.79674614644654690e-02 6.77967365603316607e-01 3.80394023929879130e-03 3.81913228366930811e-10
2.25 7.32210377556902149e-04 -1.03495194889038772e-02 1.46286080715027800e-01 6.85016947052122477e-04 1.11515492190600064e-11
2.5 1.57968947142838825e-04 -2.23284483101197180e-03 3.15605887464568066e-02 1.22780630634800172e-04 3.25598267636267298e-13
2.75 3.40802936639177535e-05 -4.81715474961010861e-04 6.80891354957445950e-03 2.19680790709562548e-05 9.50658917711015547e-15
3 7.35248545950391196e-06 -1.03925356886615819e-04 1.46895626672814087e-03 3.92616389087757513e-06 2.77566218444829930e-16
3.25 1.58622534410149422e-06 -2.24208590896722088e-05 3.16912677326002120e-04 6.66653217961591004e-07 8.10416650158491609e-18
3.5 3.42212264953050449e-07 -4.83707629556054852e-06 6.83707438557947070e-05 -1.90784305585925583e-07 2.36619252138762101e-19
3.75 7.38288751252474023e-08 -1.04355085725624778e-06 1.47503045513537008e-05 -2.01994341029402494e-07 6.90862777635648157e-21
4 1.59278417922361701e-08 -2.25135664714897380e-07 3.18223076701712628e-06 -2.66782320413913702e-06 2.01712825296659741e-22
4.25 3.43627248901758436e-09 -4.85707704054897313e-08 6.86534465772636658e-07 2.03494698411120624e-05 5.88945639200309701e-24
4.5 7.41341780986428819e-10 -1.04786601083344881e-08 1.48112948461564870e-07 1.21245977550643033e-06 1.71955918601144981e-25
4.75 1.59937025380772821e-10 -2.26066842053624031e-09 3.19539046943619672e-08 3.61280152127124927e-04 5.02063561035401982e-27
5 3.45046689801300595e-11 -4.87714271214961706e-10 6.89373168283921181e-09 -6.04253544582834465e-04 1.46588057289163216e-28
5.25 7.44409834375487646e-12 -1.05218429691183102e-10 1.48723065481449747e-09 -3.12747195080368637e-03 4.28000091650094752e-30
5.5 1.60581551896691091e-12 -2.27005552463980926e-11 3.20865085892795809e-10 2.52357776288864473e-02 1.24950629079464291e-31
5.75 3.45754368219020944e-13 -4.89002489639956330e-12 6.91871812535189446e-11 -7.88537399969099911e-02 3.64100695141727383e-33
6 7.44880441963867632e-14 -1.05534683352432838e-12 1.49272554589055858e-11 3.34303889410639099e-01 1.06157685182309784e-34
6.25 1.65492173217800820e-14 -2.34305113425494587e-13 3.29992742818299320e-12 1.05036366221582655e+00 3.19193003933051713e-36
6.5 3.07390531741494891e-15 -4.47202982836122391e-14 6.68109731149565121e-13 -5.69389149555474638e+00 8.02375071218850298e-38
6.75 9.12527189336243138e-16 -1.41228104996913467e-14 1.79183947187318672e-13 4.31647643531250580e+01 3.22361962195930807e-39
7 4.13850933341221587e-16 -6.37901206193972053e-15 5.47990314351491001e-14 1.05172485871772409e+02 1.97857698220040561e-40
7.25 -5.82190581727569089e-17 3.46983884065892270e-15 -1.94625719624204531e-14 3.21782615607179196e+03 -3.76690983527556487e-42
7.5 3.56548040398059709e-16 -2.59079178381055524e-15 9.16273077179431102e-15 2.71009445485419249e+01 3.12211675316396342e-42
7.75 1.79675154109193025e-16 -1.29797695421926022e-15 3.77325049417461113e-15 3.11860666160011704e+01 2.12926712110630438e-43
8 1.36249077257291807e-17 1.32312269700117593e-16 -1.01982228826881048e-14 8.42803139967596621e+02 2.18517753932447334e-45
8.25 -2.56619788363713654e-16 1.16180957150716187e-15 2.23230350133438844e-14 1.07485719179007177e+02 -5.56998899179522071e-45
8.5 4.55135511041551622e-17 -8.23261006477615171e-16 8.45104024834443351e-15 1.41503350634534769e+02 1.33695242208891254e-46
8.75 -3.37031200070400173e-16 5.23736449523160281e-15 -6.62843548431683442e-14 4.48110736941722863e+01 -1.33985059531284668e-46
9 -4.09674746274611467e-16 1.48048796056061356e-15 1.80145153882068276e-14 5.70323710981093228e+01 -2.20412640001683598e-47
9.25 2.44848949125907916e-16 -5.21513077203833992e-15 3.53592196269433316e-14 3.09251201189295898e+02 1.78281624844284898e-48
9.5 6.59135451898680695e-17 9.70362954666315697e-16 -3.65752917331795520e-14 7.71627981238358871e+02 6.49522270210944593e-50
9.75 4.17649460073755281e-16 -2.73958100745740945e-15 8.31659637113837850e-15 2.31144719670336194e+01 5.56983507640880238e-50
10 -9.74259711169387494e-17 2.97031444345561578e-15 -2.05838503558603389e-14 7.18235953891985787e+02 -1.75839399182594251e-51
10.25 -3.71496591859432268e-16 2.91214684880204645e-15 -3.12423408454061736e-14 -2.26493027263151880e+01 -9.07417849343941017e-52
10.5 5.04122647476638783e-16 1.60814134942353663e-15 -3.68517956840029648e-14 8.32768280311743183e+01 1.66647855172780550e-52
10.75 -1.53891442311914615e-16 -9.67193637703148151e-15 1.29021632832291269e-13 4.78840132790881034e+03 -6.88476350013409364e-54
11 1.27890038480378496e-16 -2.92648734210154610e-16 -1.08228545220958065e-14 8.98624950552364510e+01 7.74323269386230217e-55
11.25 7.40987858993800744e-16 -1.54441849873491756e-14 1.44779566933741135e-13 2.39030761278473648e+02 6.07166387081890700e-55
11.5 -3.60385678731128439e-16 -7.32410808010113582e-17 1.00132478825856507e-13 2.77889409875694753e+02 -3.99645741146236264e-56
11.75 -2.66282965629558007e-16 7.69500603361114599e-15 -4.96199833642375564e-14 6.48742853204695848e+02 -3.99633683668343183e-57
12 8.74591974243344753e-16 -1.31906762782721811e-15 -2.48720838503691658e-14 3.07131948633322729e+01 1.77637734177241031e-57
shift 12.0 endpoint_amplitude 5.15082593675044070e-18
x scaled_L scaled_Lprime scaled_Lsecond q physical_L
0 3.82084421807125407e+00 -4.39180686345711519e-14 -9.03914713974767068e+01 2.36574605606679107e+01 3.82084421807125407e+00
0.25 3.71766288889940455e+01 -2.11316767493459793e+02 4.22718473358013171e+02 2.09387830656445288e+01 1.85091536418305225e+00
0.5 9.99135532574198919e+01 -1.01107971595483002e+03 8.82215597327444448e+03 1.41073042008790388e+01 2.47660937615299698e-01
0.75 1.11489146382484009e+02 -1.41531439491330889e+03 1.72133323276866504e+04 6.75915201187949588e+00 1.37588537128534912e-02
1 8.02634231808253702e+01 -1.10327062913409350e+03 1.49864242958259492e+04 2.22661944830909064e+00 4.93155516228036992e-04
1.25 4.95162752983768328e+01 -6.95683578343424074e+02 9.74722951810789527e+03 5.42094629360429403e-01 1.51471435163807092e-05
1.5 2.93461428653259944e+01 -4.14313172094483718e+02 5.84608532292875498e+03 1.10717502461846889e-01 4.46941161424357928e-07
1.75 1.72443774411293163e+01 -2.43691693459071359e+02 3.44340863830557555e+03 2.08603697129749292e-02 1.30756533989083940e-08
2 1.01165461492135922e+01 -1.42988987370599432e+02 2.02099223344890083e+03 3.80394020787053417e-03 3.81913228366899171e-10
2.25 5.93316214198210812e+00 -8.38630250286982886e+01 1.18536838946995113e+03 6.85017207661641251e-04 1.11515492190541240e-11
2.5 3.47949761088148168e+00 -4.91816802953015468e+01 6.95168228488670479e+02 1.22779717888667401e-04 3.25598267636090644e-13
2.75 2.04052833252097532e+00 -2.88423006141103464e+01 4.07677854792257733e+02 2.19680833579660448e-05 9.50658917707291019e-15
3 1.19665223741265159e+00 -1.69143497835269905e+01 2.39079670793258970e+02 3.92804329400161365e-06 2.77566218454069365e-16
3.25 7.01767334989470748e-01 -9.91928832197326926e+00 1.40206412528587464e+02 7.02192873047855782e-07 8.10416650175827290e-18
3.5 4.11545935863733059e-01 -5.81708867913167982e+00 8.22229494469545585e+01 1.25515819415963536e-07 2.36619252102806289e-19
3.75 2.41347875841759874e-01 -3.41138588777861740e+00 4.82190018596167391e+01 2.24337001982901925e-08 6.90862778973165728e-21
4 1.41536562491190843e-01 -2.00058040823652439e+00 2.82776541926305853e+01 4.00719126195580685e-09 2.01712825257063049e-22
4.25 8.30030032191632905e-02 -1.17322463643281094e+00 1.65832077653074919e+01 7.30125487114032821e-10 5.88945664733607176e-24
4.5 4.86764580243091161e-02 -6.88028355045908313e-01 9.72509168827503068e+00 1.27239542527404386e-10 1.71955846410207632e-25
4.75 2.85459257361131147e-02 -4.03488814196203471e-01 5.70320348642625419e+00 -8.41315574163212060e-12 5.02063515956592254e-27
5 1.67405334982079906e-02 -2.36622839723146877e-01 3.34459880174343427e+00 -2.21602519591434212e-11 1.46588661750339894e-28
5.25 9.81735412594854535e-03 -1.38765602189369869e-01 1.96141364607416002e+00 5.36361511661494054e-12 4.27998352216458259e-30
5.5 5.75731006688718662e-03 -8.13779953512208942e-02 1.15025559687454448e+00 1.26257835218412862e-10 1.24963682260786674e-31
5.75 3.37632918004125444e-03 -4.77234849479557105e-02 6.74558342545668488e-01 4.83152711399079181e-11 3.64859392642178931e-33
6 1.98002167672110645e-03 -2.79870621751126987e-02 3.95589431369944067e-01 -1.63688709011494169e-10 1.06528852216367449e-34
6.25 1.16116813001187883e-03 -1.64127923610436453e-02 2.31990308831346748e-01 1.18285832544928581e-10 3.11034787192338640e-36
6.5 6.80957911721294753e-04 -9.62515291526542388e-03 1.36048890904623160e-01 -3.62177236571579804e-10 9.08135559804999691e-38
6.75 3.99342408350849458e-04 -5.64459517947775696e-03 7.97848013981933696e-02 2.18022562457620878e-10 2.65150468355279431e-39
7 2.34191212646991454e-04 -3.31022842133176995e-03 4.67891688922483645e-02 -4.15554145944026528e-09 7.74166038429016082e-41
7.25 1.37339593626058948e-04 -1.94125740697164285e-03 2.74391398773595405e-02 -4.39407432104784564e-09 2.26035073129962006e-42
7.5 8.05417238536792536e-05 -1.13843512908517043e-03 1.60914676408818146e-02 4.39350640595748655e-10 6.59959902015005728e-44
7.75 4.72330601090756351e-05 -6.67626322241465331e-04 9.43671456201944023e-03 4.30815761679055648e-09 1.92690039745298204e-45
8 2.76994563887073744e-05 -3.91524202611792877e-04 5.53408699005942042e-03 -2.16816527596453779e-09 5.62601626328464308e-47
8.25 1.62441282112002987e-05 -2.29606287421059402e-04 3.24542176353350038e-03 -1.12775209864226174e-08 1.64264115758854610e-48
8.5 9.52624115186283884e-06 -1.34650800322256079e-04 1.90325205228995798e-03 4.99406356648398824e-08 4.79605789648215920e-50
8.75 5.58658915161925662e-06 -7.89649021603126665e-05 1.11614718802865390e-03 3.00075678817019039e-08 1.40031626686643403e-51
9 3.27621124543289323e-06 -4.63083454513101063e-05 6.54555734890522700e-04 -9.06547804827135908e-08 4.08853623549361420e-53
9.25 1.92130830508600654e-06 -2.71571647834769342e-05 3.83859059656053547e-04 -6.03454591482611525e-08 1.19373951150360123e-54
9.5 1.12673613388387765e-06 -1.59261055521309696e-05 2.25111124669281551e-04 -1.94166481853108706e-07 3.48538923249145713e-56
9.75 6.60765539606873826e-07 -9.33973927524131289e-06 1.32014647408777914e-04 -3.63528207411169997e-09 1.01763726667200373e-57
10 3.87500748184619893e-07 -5.47721657670528605e-06 7.74189507749238484e-05 5.27341484954606706e-07 2.97121936538363423e-59
10.25 2.27246760533064382e-07 -3.21207053686059180e-06 4.54017341792361720e-05 2.30345957426124841e-06 8.67513869469604931e-61
10.5 1.33267077561235335e-07 -1.88369349121226652e-06 2.66254897238811476e-05 -1.98776237663704262e-06 2.53290064327391059e-62
10.75 7.81534383809720062e-08 -1.10467735120231815e-06 1.56143104414490298e-05 2.14836905609999889e-07 7.39537028880213443e-64
11 4.58324622024073221e-08 -6.47829260847141699e-07 9.15688851374230039e-06 2.14794387992117696e-06 2.15924328528979225e-65
11.25 2.68780945680804745e-08 -3.79914437652338633e-07 5.36998541957099760e-06 5.53719975265374686e-06 6.30439506916441946e-67
11.5 1.57624529846625242e-08 -2.22797949748133494e-07 3.14918803527196128e-06 -7.78356164401279157e-06 1.84070970262254609e-68
11.75 9.24375527138133388e-09 -1.30657967273597218e-07 1.84681482812622765e-06 1.27928843125569621e-06 5.37435673895250774e-70
12 5.42093416487614755e-09 -7.66233907736193006e-08 1.08305039183123238e-06 -2.91873092748980942e-05 1.56916545604420111e-71
