status=uncertified a=1 modes=160 zmax=10000.0 panel=0.5 order=16
spectrum,cut,k1,1-k1,count_1e-3,count_1e-6,count_1e-9
spectrum,32,1,0,11,9,7
cluster,32,2,0,1.1102230246251565e-16,3.3306690738754696e-16,1.0156803996060527e-08,0.30972956221782894,inf
cluster,32,4,0,6.6613381477509392e-16,2.1094237467877974e-15,1.2205443572299655e-08,0.070622535194004923,inf
cluster,32,6,0,1.6342482922482304e-13,3.9662717554733717e-11,2.3905530526169362e-07,0.0014408351847020884,inf
cluster,32,8,0,1.2581552466528478e-09,2.5994471075652115e-07,2.2209411876606531e-05,0.0018975495768666145,inf
cluster,32,10,0,5.697387301717427e-06,0.00032523862429822969,0.001462740193874491,0.0065785817394617158,inf
cluster,32,11,0,0.00032523862429822969,0.0045273677764956499,0.010697729785970864,0.025277695169317594,inf
cluster,32,12,0,0.0045273677764956499,0.094790521478775092,0.028850574034701388,0.0087810005594089052,inf
cluster,32,16,0,0.24766902957495651,0.35551431759803565,0.12997358933352787,0.047517450319232629,inf
cluster,32,20,0,0.49080953218043544,0.55935100949615335,0.16549877795130294,0.048967187040650249,inf
spectrum,48,1.0000000000000004,-4.4408920985006262e-16,11,9,8
cluster,48,2,-4.4408920985006262e-16,0,0,1.2594638997073672e-09,inf,inf
cluster,48,4,-4.4408920985006262e-16,3.3306690738754696e-16,6.6613381477509392e-16,2.0548436320818831e-09,0.0063386398628225531,inf
cluster,48,6,-4.4408920985006262e-16,4.8849813083506888e-15,1.1375345110309354e-12,3.7621184225901611e-08,0.0012442290663133451,inf
cluster,48,8,-4.4408920985006262e-16,1.6061196816963275e-10,3.1752700802023526e-08,5.7062468879377206e-06,0.0010254640620688199,inf
cluster,48,10,-4.4408920985006262e-16,2.8655281152367706e-06,9.1328088929421014e-05,0.00077033405556955212,0.006497612773095786,inf
cluster,48,11,-4.4408920985006262e-16,9.1328088929421014e-05,0.0038656928256544099,0.002905245079538956,0.0021834246415470067,inf
cluster,48,12,-4.4408920985006262e-16,0.0038656928256544099,0.068903604257472773,0.019843625080181698,0.0057147875001054213,inf
cluster,48,16,-4.4408920985006262e-16,0.18393895448103426,0.21437603408143902,0.10265677646805427,0.049158544237312633,inf
cluster,48,20,-4.4408920985006262e-16,0.3679722032272561,0.39241928439095197,0.1685666165981351,0.072409041455348613,inf
spectrum,64,1.0000000000000004,-4.4408920985006262e-16,11,9,8
cluster,64,2,-4.4408920985006262e-16,0,0,8.870322008874441e-10,inf,inf
cluster,64,4,-4.4408920985006262e-16,6.6613381477509392e-16,9.9920072216264089e-16,2.068000894105964e-09,0.0042800486460486719,inf
cluster,64,6,-4.4408920985006262e-16,4.5519144009631418e-15,8.0491169285323849e-13,2.7484161935853992e-08,0.00093846214935527786,inf
cluster,64,8,-4.4408920985006262e-16,1.360934698269034e-10,2.128909337706375e-08,4.0537742768615794e-06,0.00077190163041180281,inf
cluster,64,10,-4.4408920985006262e-16,1.9475313227657054e-06,8.6502170946189949e-05,0.00041870826576467037,0.0020267307733665588,inf
cluster,64,11,-4.4408920985006262e-16,8.6502170946189949e-05,0.0037344516915561732,0.0021947992552065628,0.0012899199584097294,inf
