0	0	[1.9290992173708376042408501474833219236848062819505 +/- 2.82e-50]	[1.6183889912202013111e-26 +/- 6.52e-47]
0	1	0	0
0	2	[-0.17672202476294183893063201268977525829594482907248 +/- 2.89e-51]	[3.4419867376464110473e-26 +/- 3.88e-46]
0	3	0	0
0	4	[-0.21754234063278200781128831530786447756315865784237 +/- 9.00e-53]	[4.0205933989858319397e-26 +/- 2.21e-46]
0	5	0	0
0	6	[0.013775235157939225518344966675424999988307688874298 +/- 1.26e-52]	[3.7014444712283369279e-26 +/- 2.91e-47]
0	7	0	0
0	8	[0.0051980436293812918356446708771763392733151208185583 +/- 3.26e-53]	[2.5910599714432255098e-26 +/- 3.33e-46]
0	9	0	0
0	10	[-0.045457509665744812025796405807666812084779555356806 +/- 4.83e-52]	[2.3506681330127441910e-26 +/- 1.38e-46]
0	11	0	0
0	12	[0.034315498746486216109505599225883807724865224264709 +/- 2.12e-52]	[4.1311888764104492675e-26 +/- 4.03e-46]
0	13	0	0
0	14	[-0.013208376029087222675475984856033592400414511324913 +/- 2.84e-52]	[6.0608261155700090254e-26 +/- 1.12e-46]
0	15	0	0
0	16	[-0.0047944613937379880943463114234920155049923417889059 +/- 2.31e-53]	[7.1984715759389384508e-26 +/- 1.01e-46]
0	17	0	0
0	18	[0.015855371906472111633000298369313764394047821852655 +/- 1.14e-52]	[6.2880386733537150907e-26 +/- 2.96e-46]
0	19	0	0
0	20	[-0.012659764233663832955249187565539835556867032757197 +/- 3.25e-52]	[2.5088188242911542670e-26 +/- 1.05e-46]
0	21	0	0
0	22	[0.0050430379191598657958043363364657950357755766681218 +/- 2.15e-53]	[3.5960950488237105747e-26 +/- 2.92e-46]
0	23	0	0
0	24	[0.0027488119951792956146793658349992867885682480677719 +/- 1.64e-53]	[8.1584598982180595192e-26 +/- 4.33e-46]
0	25	0	0
0	26	[-0.0068572268689286739704693947978813475381978836415134 +/- 3.74e-55]	[7.5395974876996555106e-26 +/- 4.02e-46]
0	27	0	0
